WGS84_1;WGS84_2;LV95_1;LV95_2
7.277884255;47.12598507;2587803;1219457
7.276472957;47.12203432;2587695;1219018
7.268499805;47.12215765;2587090;1219033
7.266903748;47.12670667;2586970;1219539
7.27999129;47.12652771;2587963;1219517
7.277457675;47.12758555;2587771;1219635
7.285179422;47.12351252;2588356;1219181
7.271009761;47.12021846;2587280;1218817
7.265839271;47.12576959;2586889;1219435
7.276629015;47.12704469;2587708;1219575
7.27457876;47.12518882;2587552;1219369
7.277706315;47.12817057;2587790;1219700
7.264341817;47.12425618;2586775;1219267
7.283230251;47.12308712;2588208;1219134
7.273184713;47.12425134;2587446;1219265
7.272325659;47.12503265;2587381;1219352
7.277121494;47.12110877;2587744;1218915
7.286138842;47.12442229;2588429;1219282
7.284980082;47.12408792;2588341;1219245
7.28399258;47.12378076;2588266;1219211
7.280497981;47.12454954;2588001;1219297
7.2665123;47.12549177;2586940;1219404
7.287615361;47.12424435;2588541;1219262
7.27387694;47.12626719;2587499;1219489
7.264667724;47.12534506;2586800;1219388
7.279405901;47.12396335;2587918;1219232
7.271484787;47.12421289;2587317;1219261
7.276262795;47.12612669;2587680;1219473
7.275224164;47.12530668;2587601;1219382
7.273450882;47.1234152;2587466;1219172
7.284700938;47.12491508;2588320;1219337
7.283554359;47.12492252;2588233;1219338
7.272643773;47.12444844;2587405;1219287
7.268571313;47.12452341;2587096;1219296
7.278048323;47.12402442;2587815;1219239
7.280312088;47.12501701;2587987;1219349
7.266284646;47.12660679;2586923;1219528
7.284980654;47.12389004;2588341;1219223
7.279622435;47.12647322;2587935;1219511
7.276222462;47.12638749;2587677;1219502
7.268530685;47.12486515;2587093;1219334
7.275577759;47.12173622;2587627;1218985
7.278092323;47.12691183;2587819;1219560
7.265550094;47.12553529;2586867;1219409
7.266888915;47.12721935;2586969;1219596
7.278578494;47.12739824;2587856;1219614
7.268966358;47.12462294;2587126;1219307
7.277125033;47.12428397;2587745;1219268
7.283629656;47.12621788;2588239;1219482
7.277844942;47.12155054;2587799;1218964
7.277037983;47.12691035;2587739;1219560
7.266961915;47.12093204;2586973;1218897
7.27776854;47.12066893;2587793;1218866
7.278724225;47.12714659;2587867;1219586
7.274551681;47.12542265;2587550;1219395
7.270639853;47.12468837;2587253;1219314
7.277000352;47.12194512;2587735;1219008
7.282431495;47.12582947;2588148;1219439
7.271649306;47.12638089;2587330;1219502
7.277193404;47.12781005;2587751;1219660
7.268158366;47.12589901;2587065;1219449
7.282276838;47.12464194;2588136;1219307
7.270213977;47.126001;2587221;1219460
7.27837673;47.12437568;2587840;1219278
7.266717118;47.12736301;2586956;1219612
7.26661241;47.12713798;2586948;1219587
7.273134937;47.12330681;2587442;1219160
7.277892789;47.12316069;2587803;1219143
7.270754204;47.12603777;2587262;1219464
7.28300364;47.12396831;2588191;1219232
7.279847178;47.12623967;2587952;1219485
7.282304121;47.12432715;2588138;1219272
7.278954915;47.12493417;2587884;1219340
7.278097223;47.12092125;2587818;1218894
7.265467859;47.12650661;2586861;1219517
7.270245772;47.12428302;2587223;1219269
7.283066902;47.12486789;2588196;1219332
7.273101528;47.12557347;2587440;1219412
7.277501818;47.12606548;2587774;1219466
7.267074571;47.12277616;2586982;1219102
7.280433292;47.12414468;2587996;1219252
7.276680629;47.12307802;2587711;1219134
7.282750823;47.1247955;2588172;1219324
7.276869584;47.12161212;2587725;1218971
7.28142639;47.12255396;2588071;1219075
7.281564737;47.12479387;2588082;1219324
7.274887272;47.12343526;2587575;1219174
7.277674772;47.12117251;2587786;1218922
7.266559166;47.12322513;2586943;1219152
7.265918782;47.12563479;2586895;1219420
7.270508748;47.1244723;2587243;1219290
7.28088894;47.12603423;2588031;1219462
7.26673483;47.12595984;2586957;1219456
7.275722812;47.12600899;2587639;1219460
7.27824939;47.12727185;2587831;1219600
7.285214235;47.12514963;2588359;1219363
7.267278327;47.12498021;2586998;1219347
7.266731763;47.12282961;2586956;1219108
