,ADR_EGAID,STR_ESID,BDG_EGID,ADR_EDID,STN_LABEL,ADR_NUMBER,BDG_CATEGORY,BDG_NAME,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_VALID,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
2505077,102883748,10242584,504032227,0,Ringstrasse,11,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586981,1218508
2505091,102883609,10057932,504032345,0,Mattenstrasse,15,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587648,1219295
2505105,102883927,10010249,504032165,0,Erlenstrasse,1b,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587686,1218799
2505131,102883623,10010246,504032492,0,Bielstrasse,19b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587696,1219401
2505133,102883882,10010254,504032362,0,Industriestrasse,27,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587022,1219064
2505136,102883858,10086640,504032291,0,Orpundstrasse,27b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588552,1219317
2505152,102883789,10104746,504032313,0,Obergasse,21b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587887,1219319
2505194,102883668,10010250,504032405,0,Friedhofweg,21a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587605,1219227
2505203,102883899,10057931,504032359,0,Kanalweg,14a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588089,1219096
2505207,102883759,10086642,504032226,0,Römerstrasse,11a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587153,1218879
2505219,102883819,10112482,504032214,0,Schulstrasse,1,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587546,1219420
2505226,102883766,10086642,504032131,0,Römerstrasse,11c,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587140,1218878
2505250,102883675,10010246,504032480,0,Bielstrasse,46a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587187,1219323
2505251,102883798,10104746,504032311,0,Obergasse,22b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587848,1219360
2505259,102883922,10109855,504032200,0,Wasserstrasse,5a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587203,1218787
2505270,102883565,10130222,504032508,0,Aarestrasse,6b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587868,1219085
2505278,102883823,10112482,504032213,0,Schulstrasse,1a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587547,1219428
2505390,102883579,10010261,504032263,0,Pfeidstrasse,4h,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587808,1219167
2505397,102883825,10104746,504032304,0,Obergasse,5b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588123,1219299
