Adresse;PLZ;Stadt;Preis (CHF/m2/jahr);Link;Ganze Adresse;Longitude;Latitude
Wengistrasse 7;8004;Zürich;415;https://www.homegate.ch/rent/3001481542;Wengistrasse 7 8004;8.522947311401367;47.375030517578125
Müllerstrasse 71;8004;Zürich;5500;https://www.homegate.ch/rent/3001336323;Müllerstrasse 71 8004;8.528377532958984;47.37608337402344
Badenerstrasse 47;8004;Zürich;1606.46;https://www.homegate.ch/rent/3001261681;Badenerstrasse 47 8004;8.528548240661621;47.37317657470703
Engelstrasse 6;8004;Zürich;415;https://www.homegate.ch/rent/3001481544;Engelstrasse 6 8004;8.522491455078125;47.374961853027344
Engelstrasse 6;8004;Zürich;415;https://www.homegate.ch/rent/3001481543;Engelstrasse 6 8004;8.522491455078125;47.374961853027344
Badenerstrasse 15;8004;Zürich;Price on request;https://www.homegate.ch/rent/3001397272;Badenerstrasse 15 8004;8.530344009399414;47.373443603515625
Badenerstrasse 15;8004;Zürich;Price on request;https://www.homegate.ch/rent/3001110818;Badenerstrasse 15 8004;8.530344009399414;47.373443603515625
Freischützgasse 10;8004;Zürich;Price on request;https://www.homegate.ch/rent/3001704265;Freischützgasse 10 8004;8.533037185668945;47.3771858215332
Hardturmstrasse 105;8005;Zürich;260;https://www.homegate.ch/rent/3001395841;Hardturmstrasse 105 8005;8.51577091217041;47.391685485839844
Pfingstweidstrasse 60;8005;Zürich;350;https://www.homegate.ch/rent/3001764093;Pfingstweidstrasse 60 8005;8.514150619506836;47.38966369628906
Hardturmstr.161/Förrlibuck 150;8005;Zürich;320;https://www.homegate.ch/rent/3001722992;Hardturmstr.161/Förrlibuck 150 8005;8.511878967285156;47.39333724975586
Josefstrasse 218;8005;Zürich;320;https://www.homegate.ch/rent/3001503747;Josefstrasse 218 8005;8.522645950317383;47.387535095214844
Pfingstweidstrasse 60;8005;Zürich;400;https://www.homegate.ch/rent/3000547696;Pfingstweidstrasse 60 8005;8.514150619506836;47.38966369628906
Limmatstrasse 264/266;8005;Zürich;560;https://www.homegate.ch/rent/3001769418;Limmatstrasse 264/266 8005;8.526095390319824;47.38866424560547
Hardturmstrasse 253;8005;Zürich;Price on request;https://www.homegate.ch/rent/3001733945;Hardturmstrasse 253 8005;8.508553504943848;47.3935546875
Hardturmstrasse 253;8005;Zürich;Price on request;https://www.homegate.ch/rent/3001492780;Hardturmstrasse 253 8005;8.508553504943848;47.3935546875
Limmatstrasse 264/266;8005;Zürich;Price on request;https://www.homegate.ch/rent/3000982072;Limmatstrasse 264/266 8005;8.52582836151123;47.38882827758789
Röntgenstrasse 16;8005;Zürich;Price on request;https://www.homegate.ch/rent/3000779343;Röntgenstrasse 16 8005;8.528348922729492;47.382728576660156
Hardstrasse 201;8005;Zürich;Price on request;https://www.homegate.ch/rent/3000913959;Hardstrasse 201 8005;8.51737117767334;47.386226654052734
Hardstrasse 201;8005;Zürich;Price on request;https://www.homegate.ch/rent/3001311505;Hardstrasse 201 8005;8.51737117767334;47.386226654052734
Pfingstweidstrasse 106;8005;Zürich;Price on request;https://www.homegate.ch/rent/3001507017;Pfingstweidstrasse 106 8005;8.507978439331055;47.39120864868164
