postal_code,Gde-Nr.,PLZ,Gemeinde,global_rad_10y_mean:W
postal_CH3216,2276,3216,Ried bei Kerzers,199.23314840499307
postal_CH1673,2072,1673,Ecublens (FR),201.56144244105403
postal_CH1562,5816,1562,Corcelles-près-Payerne,200.66061026352298
postal_CH2022,6417,2022,La Grande Béroche,196.38391123439666
postal_CH1628,2160,1628,Vuadens,198.39348127600573
postal_CH1624,2338,1624,La Verrerie,200.19653259362002
postal_CH1753,2208,1753,Matran,200.9348127600555
postal_CH1740,2211,1740,Neyruz (FR),200.9196948682386
postal_CH2073,6453,2073,Enges,193.62926490984742
postal_CH5462,4319,5462,Siglistorf,192.68196948682387
postal_CH5704,4195,5704,Egliswil,193.37364771151175
postal_CH7083,3513,7083,Lantsch/Lenz,200.26685159500693
postal_CH7514,3789,7514,Sils im Engadin/Segl,191.6660194174759
postal_CH4512,2542,4512,Bellach,193.8690707350899
postal_CH8374,4726,8374,Fischingen,192.1145631067959
postal_CH1322,5752,1322,Croy,197.30138696255185
postal_CH1195,5855,1195,Dully,201.26296809986127
postal_CH1898,6155,1898,Saint-Gingolph,196.8209431345354
postal_CH1046,5534,1046,Rueyres,200.2901525658809
postal_CH1058,5804,1058,Jorat-Menthue,200.4167822468793
postal_CH1463,5928,1463,Rovray,198.79153952843282
postal_CH1149,5424,1149,Berolle,194.87337031900137
postal_CH1895,6158,1895,Vionnaz,201.42122052704582
postal_CH1304,5477,1304,Cossonay,198.87073509015252
postal_CH1131,5649,1131,Tolochenaz,202.32468793342608
postal_CH1094,5588,1094,Paudex,201.73079056865464
postal_CH1189,5437,1189,Saubraz,198.46823855755895
postal_CH3986,6181,3986,Riederalp,200.5511789181692
postal_CH6614,5097,6614,Brissago,188.82954230235794
postal_CH6721,5050,6721,Serravalle,186.46657420249664
postal_CH6683,5307,6683,Campo (Vallemaggia),185.20624133148414
postal_CH6744,5076,6744,Personico,175.51206657420266
postal_CH7503,3786,7503,Samedan,198.4599167822469
postal_CH9200,3443,9200,Gossau (SG),191.58973647711505
postal_CH3765,766,3765,Oberwil im Simmental,197.27170596393887
postal_CH8164,81,8164,Bachs,194.0514563106796
postal_CH8155,90,8155,Niederhasli,194.9406380027737
postal_CH8309,64,8309,Nürensdorf,194.19375866851576
